2024-04-01,3362.43
2024-04-02,3138.82
2024-04-03,3147.18
2024-04-04,3092.70
2024-04-05,3286.54
2024-04-06,2969.85
2024-04-07,3374.48
2024-04-08,3123.88
2024-04-09,3231.90
2024-04-10,3175.06
2024-04-11,3346.21
2024-04-12,2993.99
2024-04-13,3167.76
2024-04-14,3161.59
2024-04-15,3313.38
2024-04-16,3090.01
2024-04-17,3182.76
2024-04-18,3112.21
2024-04-19,3204.22
2024-04-20,3258.28
2024-04-21,3089.94
2024-04-22,3314.47
2024-04-23,3290.16
2024-04-24,3250.25
2024-04-25,3290.09
2024-04-26,3131.63
2024-04-27,3187.71
2024-04-28,3106.42
2024-04-29,3173.21
2024-04-30,3253.04
